ChangeTV init done

---------- 1544910607.0957108 ----------

---------- 1544910612.1034548 ----------

---------- 1544910617.110819 ----------

---------- 1544910622.1181176 ----------

---------- 1544910627.125353 ----------

---------- 1544910632.1326363 ----------

---------- 1544910637.1398838 ----------

---------- 1544910642.147158 ----------

---------- 1544910647.1544113 ----------

---------- 1544910652.1616604 ----------

---------- 1544910657.169068 ----------

---------- 1544910662.1763344 ----------

---------- 1544910667.1835701 ----------

---------- 1544910672.1908076 ----------

---------- 1544910677.1980205 ----------

---------- 1544910682.20524 ----------

---------- 1544910687.2124693 ----------

---------- 1544910692.2196898 ----------

---------- 1544910697.2268934 ----------

---------- 1544910702.2340784 ----------

---------- 1544910707.241206 ----------

---------- 1544910712.2484188 ----------

---------- 1544910717.2555664 ----------

---------- 1544910722.2627861 ----------

---------- 1544910727.2699883 ----------

---------- 1544910732.2771816 ----------

---------- 1544910737.284356 ----------

---------- 1544910742.2915118 ----------

---------- 1544910747.298709 ----------

---------- 1544910752.305887 ----------

---------- 1544910757.3130639 ----------

---------- 1544910762.3202467 ----------

---------- 1544910767.3274033 ----------

---------- 1544910772.3345964 ----------

---------- 1544910777.341783 ----------

---------- 1544910782.3489747 ----------

---------- 1544910787.3529556 ----------

---------- 1544910792.3602273 ----------

---------- 1544910797.367433 ----------

---------- 1544910802.3746643 ----------

---------- 1544910807.3818965 ----------

---------- 1544910812.389149 ----------

---------- 1544910817.396407 ----------

---------- 1544910822.4036698 ----------

---------- 1544910827.4109209 ----------

---------- 1544910832.4181983 ----------

---------- 1544910837.425392 ----------

---------- 1544910842.4326553 ----------

---------- 1544910847.4398608 ----------

---------- 1544910852.4470901 ----------

---------- 1544910857.4543176 ----------

---------- 1544910862.4615536 ----------

---------- 1544910867.4687343 ----------

---------- 1544910872.4759884 ----------

---------- 1544910877.4832213 ----------

---------- 1544910882.4904795 ----------

---------- 1544910887.4976525 ----------

---------- 1544910892.5048993 ----------

---------- 1544910897.5120895 ----------

---------- 1544910902.5169845 ----------

---------- 1544910907.52142 ----------

---------- 1544910912.5286567 ----------

---------- 1544910917.5358708 ----------

---------- 1544910922.5431397 ----------

---------- 1544910927.5503886 ----------

---------- 1544910932.5576317 ----------

---------- 1544910937.5649037 ----------

---------- 1544910942.5721867 ----------

---------- 1544910947.5794318 ----------

---------- 1544910952.5866916 ----------

---------- 1544910957.5939677 ----------

---------- 1544910962.601194 ----------

---------- 1544910967.6084597 ----------

---------- 1544910972.6156898 ----------

---------- 1544910977.6229472 ----------

---------- 1544910982.6302037 ----------

---------- 1544910987.6374319 ----------

---------- 1544910992.644701 ----------

---------- 1544910997.6519535 ----------

---------- 1544911002.6592078 ----------

---------- 1544911007.6664717 ----------

---------- 1544911012.6736877 ----------

---------- 1544911017.680906 ----------

---------- 1544911022.6881564 ----------

---------- 1544911027.695383 ----------

---------- 1544911032.7026193 ----------

---------- 1544911037.7098293 ----------

---------- 1544911042.717047 ----------

---------- 1544911047.7243152 ----------

---------- 1544911052.7316 ----------

---------- 1544911057.738845 ----------

---------- 1544911062.7460847 ----------

---------- 1544911067.7533 ----------

---------- 1544911072.7605402 ----------

---------- 1544911077.7677543 ----------

---------- 1544911082.775009 ----------

---------- 1544911087.7822552 ----------

---------- 1544911092.7894702 ----------

---------- 1544911097.796712 ----------

---------- 1544911102.803949 ----------

---------- 1544911107.8111715 ----------

---------- 1544911112.8184266 ----------

---------- 1544911117.8256414 ----------

---------- 1544911122.8329198 ----------

---------- 1544911127.8401737 ----------

---------- 1544911132.8474154 ----------

---------- 1544911137.854678 ----------

---------- 1544911142.8619134 ----------

---------- 1544911147.869147 ----------

---------- 1544911152.8764117 ----------

---------- 1544911157.8836472 ----------

---------- 1544911162.8909092 ----------

---------- 1544911167.8981721 ----------

---------- 1544911172.9054177 ----------

---------- 1544911177.9127088 ----------

---------- 1544911182.919981 ----------

---------- 1544911187.92722 ----------

---------- 1544911192.9344997 ----------

---------- 1544911197.941737 ----------

---------- 1544911202.9489481 ----------

---------- 1544911207.956193 ----------

---------- 1544911212.9634175 ----------

---------- 1544911217.9706492 ----------

---------- 1544911222.9778624 ----------

---------- 1544911227.9850714 ----------

---------- 1544911232.9923255 ----------

---------- 1544911237.9995458 ----------

---------- 1544911243.0067873 ----------

---------- 1544911248.014025 ----------

---------- 1544911253.0212557 ----------

---------- 1544911258.0284903 ----------

---------- 1544911263.0357084 ----------

---------- 1544911268.0429668 ----------

---------- 1544911273.0502136 ----------

---------- 1544911278.0574265 ----------

---------- 1544911283.064665 ----------

---------- 1544911288.0718763 ----------

---------- 1544911293.0791314 ----------

---------- 1544911298.08638 ----------

---------- 1544911303.093601 ----------

---------- 1544911308.1008363 ----------

---------- 1544911313.108076 ----------

---------- 1544911318.1152904 ----------

---------- 1544911323.1225302 ----------

---------- 1544911328.1297429 ----------

---------- 1544911333.136959 ----------

---------- 1544911338.1441765 ----------

---------- 1544911343.15137 ----------

---------- 1544911348.1585402 ----------

---------- 1544911353.1657252 ----------

---------- 1544911358.1729267 ----------

---------- 1544911363.1801221 ----------

---------- 1544911368.187333 ----------

---------- 1544911373.1946077 ----------

---------- 1544911378.2018363 ----------

---------- 1544911383.2090793 ----------

---------- 1544911388.2163382 ----------

---------- 1544911393.2235844 ----------

---------- 1544911398.230842 ----------

---------- 1544911403.2380984 ----------

---------- 1544911408.2453299 ----------

---------- 1544911413.2525964 ----------

---------- 1544911418.2598453 ----------

---------- 1544911423.2671154 ----------

---------- 1544911428.2743409 ----------

---------- 1544911433.2815533 ----------

---------- 1544911438.2888176 ----------

---------- 1544911443.2960994 ----------

---------- 1544911448.303323 ----------

---------- 1544911453.310553 ----------

---------- 1544911458.317761 ----------

---------- 1544911463.3249767 ----------

---------- 1544911468.3322072 ----------

---------- 1544911473.3394227 ----------

---------- 1544911478.3466508 ----------

---------- 1544911483.3538654 ----------

---------- 1544911488.3610747 ----------

---------- 1544911493.3683035 ----------

---------- 1544911498.3755176 ----------

---------- 1544911503.3827589 ----------

---------- 1544911508.3899755 ----------

---------- 1544911513.397204 ----------

---------- 1544911518.404431 ----------

---------- 1544911523.4116437 ----------

---------- 1544911528.418873 ----------

---------- 1544911533.4260936 ----------

---------- 1544911538.4333107 ----------

---------- 1544911543.4405465 ----------

---------- 1544911548.4477417 ----------

---------- 1544911553.4549677 ----------

---------- 1544911558.4621391 ----------

---------- 1544911563.469304 ----------

---------- 1544911568.4765365 ----------

---------- 1544911573.4837499 ----------

---------- 1544911578.490987 ----------

---------- 1544911583.4982247 ----------

---------- 1544911588.5056286 ----------

---------- 1544911593.5128608 ----------

---------- 1544911598.5200891 ----------

---------- 1544911603.527318 ----------

---------- 1544911608.534546 ----------

---------- 1544911613.5417705 ----------

---------- 1544911618.5489461 ----------

---------- 1544911623.5561774 ----------

---------- 1544911628.5633945 ----------

---------- 1544911633.5706394 ----------

---------- 1544911638.577812 ----------

---------- 1544911643.5849743 ----------

---------- 1544911648.592111 ----------

---------- 1544911653.5993357 ----------

---------- 1544911658.6065497 ----------

---------- 1544911663.6137679 ----------

---------- 1544911668.62095 ----------

---------- 1544911673.628164 ----------

---------- 1544911678.635356 ----------

---------- 1544911683.6425934 ----------

---------- 1544911688.6498084 ----------

---------- 1544911693.6569922 ----------

---------- 1544911698.6641157 ----------

---------- 1544911703.67129 ----------

---------- 1544911708.6784766 ----------

---------- 1544911713.6856174 ----------

---------- 1544911718.692811 ----------

---------- 1544911723.70001 ----------

---------- 1544911728.7072265 ----------

---------- 1544911733.7144492 ----------

---------- 1544911738.7216706 ----------

---------- 1544911743.7288992 ----------

---------- 1544911748.7360718 ----------

---------- 1544911753.7432942 ----------

---------- 1544911758.7505326 ----------

---------- 1544911763.7577093 ----------

---------- 1544911768.7648606 ----------

---------- 1544911773.772748 ----------

---------- 1544911778.7799513 ----------

---------- 1544911783.7871406 ----------

---------- 1544911788.7943602 ----------

---------- 1544911793.80153 ----------

---------- 1544911798.8087325 ----------

---------- 1544911803.815942 ----------

---------- 1544911808.823149 ----------

---------- 1544911813.8310351 ----------

---------- 1544911818.8382776 ----------

---------- 1544911823.845497 ----------

---------- 1544911828.8527358 ----------

---------- 1544911833.8599768 ----------

---------- 1544911838.8671947 ----------

---------- 1544911843.8744361 ----------

---------- 1544911848.8816173 ----------

---------- 1544911853.8888118 ----------

---------- 1544911858.8960452 ----------

---------- 1544911863.9032762 ----------

---------- 1544911868.91049 ----------

---------- 1544911873.9176643 ----------

---------- 1544911878.9248347 ----------

---------- 1544911883.9319878 ----------

---------- 1544911888.9391673 ----------

---------- 1544911893.94642 ----------

---------- 1544911898.953653 ----------

---------- 1544911903.9608986 ----------

---------- 1544911908.9681346 ----------

---------- 1544911913.9753547 ----------

---------- 1544911918.9825552 ----------

---------- 1544911923.9896886 ----------

---------- 1544911928.9969018 ----------

---------- 1544911934.0041306 ----------

---------- 1544911939.0113366 ----------

---------- 1544911944.0185285 ----------

---------- 1544911949.0256534 ----------

---------- 1544911954.0328376 ----------

---------- 1544911959.04006 ----------

---------- 1544911964.0472884 ----------

---------- 1544911969.0544686 ----------

---------- 1544911974.0616539 ----------

---------- 1544911979.0688763 ----------

---------- 1544911984.076116 ----------

---------- 1544911989.0833106 ----------

---------- 1544911994.090521 ----------

---------- 1544911999.0977402 ----------

---------- 1544912004.1049209 ----------

---------- 1544912009.1121237 ----------

---------- 1544912014.1193345 ----------

---------- 1544912019.126552 ----------

---------- 1544912024.1337817 ----------

---------- 1544912029.140978 ----------

---------- 1544912034.148174 ----------

---------- 1544912039.1553845 ----------

---------- 1544912044.1625805 ----------

---------- 1544912049.169719 ----------

---------- 1544912054.1769497 ----------

---------- 1544912059.1848378 ----------

---------- 1544912064.192017 ----------

---------- 1544912069.1992304 ----------

---------- 1544912074.2065182 ----------

---------- 1544912079.2137752 ----------

---------- 1544912084.2209892 ----------

---------- 1544912089.2282348 ----------

---------- 1544912094.2354505 ----------

---------- 1544912099.2426243 ----------

---------- 1544912104.2498436 ----------

---------- 1544912109.257032 ----------

---------- 1544912114.2642753 ----------

---------- 1544912119.2714956 ----------

---------- 1544912124.278733 ----------

---------- 1544912129.2859597 ----------

---------- 1544912134.2931883 ----------

---------- 1544912139.3004234 ----------

---------- 1544912144.3076236 ----------

